SGB_ID,Completeness,Contamination,Genome size (bp),Contig count,N50,GC,BioProject,Domain,Phylum,Class,Order,Family,Genus,Species,fastani_ani
N._stephensi_709_foregut__metabat2_low_PE.014.contigs,97.36,2.01,3076254,228,25031,47.4,PRJNA336354,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__CAG-873,s__,
SAMEA3663036__metabat2_low_PE.026.contigs,92.29,0.45,2217192,291,10771,54.6,PRJEB11755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__CAG-873,s__,
X1_Eurasian_Beaver__metabat2_high_PE.005.contigs,91.93,1.09,2360269,233,14291,55.3,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__CAG-873,s__,
X279_Western_Grey_Kangaroo__metabat2_low_PE.007.contigs,65.3,4.34,1467052,306,5489,45.1,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__CAG-873,s__,
X341_Western_Lowland_Gorilla__metabat2_low_PE.002.contigs,77.71,1.17,2206131,419,6201,56.8,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__CAG-873,s__,
X363_Desmarests_Spiny_Pocket_Mouse__maxbin2_high_prob.028.contigs,91.95,1.13,2590158,124,32882,54.7,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__CAG-873,s__,
X363_Desmarests_Spiny_Pocket_Mouse__metabat2_high_PE.004.contigs,67.0,2.53,1829347,445,4437,60.9,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__CAG-873,s__,
X363_Desmarests_Spiny_Pocket_Mouse__metabat2_high_PE.013.contigs,96.04,0.67,3066937,140,35912,51.7,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__CAG-873,s__,
X247_Common_Hamster__maxbin2_high_prob.003.contigs,71.53,4.82,1801989,313,7408,57.3,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Duncaniella,s__,
HHCFR05603__metabat2_low_PE.019.contigs,82.7,0.57,1892317,393,5814,53.2,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__K10,s__K10 sp001941205,97.39
Rahab_p1__maxbin2_low_prob.022.contigs,99.43,0.44,2369664,130,34441,52.2,PRJEB20308,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__K10,s__,
X363_Desmarests_Spiny_Pocket_Mouse__maxbin2_low_prob.014.contigs,98.66,0.5,2604229,100,46718,55.1,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__K10,s__,
Connie_p1__metabat2_low_PE.017.contigs,99.43,0.0,2858460,39,116625,49.7,PRJEB20308,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Muribaculum,s__Muribaculum sp002492595,97.55
X378_Fat_Sand_Rat__metabat2_high_PE.001.contigs,90.74,4.0,3905284,590,8908,48.3,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Muribaculum,s__Muribaculum sp003150235,97.51
X378_Fat_Sand_Rat__metabat2_low_PE.008.contigs,81.01,3.02,2279497,416,6614,58.3,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__UBA3263,s__,
Trix_p2__metabat2_low_PE.030.contigs,97.48,0.57,2144140,77,47823,54.8,PRJEB20308,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__UBA7173,s__UBA7173 sp001701135,98.22
X363_Desmarests_Spiny_Pocket_Mouse__maxbin2_high_prob.022.contigs,88.13,2.48,2394720,183,19972,56.1,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__UBA7173,s__,
SAMEA104315426__metabat2_low_PE.027.contigs,97.47,0.75,2459673,75,47115,40.8,PRJEB22765,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__UBA7173_A,s__,
SAMEA3663015__maxbin2_high_prob.010.contigs,98.05,2.77,3827002,318,49356,50.8,PRJEB11755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__UBA7173_A,s__,
R20__metabat2_low_PE.059.contigs,75.1,1.93,1698593,477,4007,61.3,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__P3,g__,s__,
R27__maxbin2_low_prob.010.contigs,96.22,0.54,2697660,121,38124,51.8,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__P3,g__,s__,
R24__metabat2_high_PE.045.contigs,98.39,0.0,2036947,156,19377,34.0,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__P3,g__Phil12,s__Phil12 sp900314725,98.45
R12__metabat2_low_PE.028.contigs,92.72,0.54,2422500,221,14366,54.2,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__P3,g__UBA1217,s__UBA1217 sp002371315,96.39
R22__metabat2_high_PE.041.contigs,90.59,0.38,2492943,271,12174,52.0,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__P3,g__UBA1217,s__,
R21__metabat2_low_PE.009.contigs,90.61,1.08,2602903,297,12149,53.1,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__P3,g__UBA1711,s__UBA1711 sp900317125,96.03
R22__maxbin2_high_prob.045.contigs,97.85,0.54,2444871,89,50955,57.1,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__P3,g__UBA1711,s__,
R25__metabat2_high_PE.017.contigs,95.43,1.08,2978737,142,37266,51.7,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__P3,g__UBA1711,s__UBA1711 sp002368955,97.89
X415_White_Rhinoceros__metabat2_low_PE.004.contigs,91.13,0.54,2290080,91,48540,53.0,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__P3,g__UBA1711,s__,
X431_Quagga__metabat2_high_PE.003.contigs,73.96,2.06,1831858,335,6309,54.7,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__P3,g__UBA1711,s__,
SAMEA104315430__metabat2_low_PE.047.contigs,97.29,0.0,2133484,45,73879,43.5,PRJEB22765,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__P3,g__UBA3388,s__,
SAMEA3663015__metabat2_low_PE.008.contigs,98.39,0.0,2202454,20,176043,42.4,PRJEB11755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__P3,g__UBA3388,s__,
X208_Red_Sheep__metabat2_high_PE.002.contigs,81.78,0.54,1691151,296,6766,32.8,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__P3,g__UBA3388,s__,
artificially_reared_2__maxbin2_low_prob.006.contigs,88.6,1.11,2174315,131,32543,41.2,PRJNA316560-PRJNA316570,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__,s__,
SAMEA104315432__metabat2_low_PE.040.contigs,87.99,0.0,1961974,339,7523,47.8,PRJEB22765,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__,s__,
SAMEA3663015__metabat2_low_PE.032.contigs,94.35,0.0,1994990,18,289489,49.4,PRJEB11755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__,s__,
SAMEA3663036__metabat2_low_PE.036.contigs,95.91,1.39,1886244,186,15101,41.5,PRJEB11755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__,s__,
SAMEA3663077__maxbin2_high_prob.011.contigs,98.92,1.08,2158089,70,76220,36.8,PRJEB11755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__,s__,
SAMEA3663246__metabat2_low_PE.003.contigs,95.43,1.61,2122729,204,15307,37.0,PRJEB11755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__,s__,
X285_Short_beaked_Echidna__metabat2_high_PE.005.contigs,99.19,2.69,2121013,70,47531,41.7,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__,s__,
R18__metabat2_low_PE.054.contigs,98.66,0.54,1789205,45,65913,38.6,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__F0058,s__,
SAMEA104315422__maxbin2_high_prob.025.contigs,68.12,2.06,1564917,412,4500,51.1,PRJEB22765,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__,
SAMEA104315426__maxbin2_high_prob.031.contigs,90.52,0.54,2644130,326,11090,48.5,PRJEB22765,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__,
SAMEA104315427__metabat2_high_PE.027.contigs,95.97,0.91,2321985,63,62311,47.5,PRJEB22765,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__,
SAMEA104315439__metabat2_low_PE.016.contigs,97.04,1.61,2508242,74,45974,51.1,PRJEB22765,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__,
SAMEA3663036__metabat2_high_PE.015.contigs,66.57,2.56,1326863,391,3537,51.7,PRJEB11755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__,
SAMEA3663077__metabat2_high_PE.010.contigs,92.2,1.08,1981037,77,41867,49.6,PRJEB11755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__,
SAMEA3663082__metabat2_high_PE.018.contigs,52.27,2.15,1081646,376,2960,47.7,PRJEB11755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__,
SAMEA3663084__metabat2_low_PE.028.contigs,87.63,0.02,1599094,102,23545,48.4,PRJEB11755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__,
SAMEA3663257__metabat2_high_PE.019.contigs,55.15,3.23,1169265,399,3143,42.7,PRJEB11755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__,
X363_Desmarests_Spiny_Pocket_Mouse__metabat2_low_PE.030.contigs,95.43,0.56,2314063,102,31579,48.6,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__,
X369_Koala__metabat2_high_PE.004.contigs,89.52,0.54,1739753,169,13949,53.6,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__,
R04__metabat2_low_PE.020.contigs,60.06,1.08,1599870,494,3564,44.9,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__UBA1181,s__,
R03__maxbin2_low_prob.011.contigs,98.92,0.0,2717527,111,60814,43.3,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__UBA4345,s__,
R16__maxbin2_high_prob.025.contigs,94.21,0.94,1988661,231,12307,55.0,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__,
R16__metabat2_low_PE.011.contigs,92.37,0.0,1955363,296,8196,54.7,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__,
R20__maxbin2_high_prob.033.contigs,75.12,2.63,1523613,431,3920,56.0,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__,
R20__metabat2_high_PE.053.contigs,78.26,0.73,1615840,441,4258,58.7,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__,
X289_Eastern_Grey_Kangaroo__metabat2_low_PE.002.contigs,94.58,1.68,2688386,96,47663,48.0,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__,
CHCFR05602__metabat2_low_PE.021.contigs,99.04,0.96,2431771,29,106178,57.5,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__,
DSTMR04002__metabat2_high_PE.025.contigs,99.47,0.96,2626769,83,49312,60.4,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes sp002161445,98.07
HHCFR02800__metabat2_low_PE.073.contigs,98.18,0.64,2265031,148,28114,61.7,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes sp900021155,99.34
LBJMR02800__metabat2_low_PE.051.contigs,98.8,1.89,2456332,56,72957,62.5,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__,
MHCFR05601__metabat2_high_PE.060.contigs,99.04,0.0,1701961,43,63070,53.4,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__,
NBJMC04201__maxbin2_low_prob.026.contigs,98.56,0.96,2457361,21,284462,58.2,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__,
NBJMC04201__maxbin2_low_prob.028.contigs,95.83,0.48,2791676,142,40384,61.8,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__,
NHCFC04200__maxbin2_high_prob.014.contigs,99.33,0.48,2484556,76,93243,63.0,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes sp900290115,98.99
NHCFR05603__maxbin2_high_prob.044.contigs,99.39,0.72,2557606,56,90156,60.9,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__,
SAMEA104404097__metabat2_high_PE.016.contigs,93.77,1.2,1786122,147,17563,53.2,PRJEB23642,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__,
SAMEA104404100__metabat2_high_PE.096.contigs,85.76,2.28,1884932,326,7242,49.4,PRJEB23642,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__,
SAMEA104404106__maxbin2_low_prob.005.contigs,100.0,1.44,2289334,34,153992,48.4,PRJEB23642,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__,
X127_Alpine_Marmot__metabat2_high_PE.013.contigs,92.91,1.7,1828811,270,8415,61.9,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__,
X129_Alpine_Ibex__metabat2_low_PE.004.contigs,85.97,4.25,1753169,274,7974,48.1,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__,
X199_Human__metabat2_high_PE.027.contigs,97.64,1.2,3333185,48,124154,58.4,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes onderdonkii,97.09
X199_Human__metabat2_low_PE.023.contigs,99.52,0.96,2216103,44,89714,54.3,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes putredinis,99.47
X3_Alpine_Chamois__metabat2_high_PE.002.contigs,91.8,2.16,1735818,220,9871,47.6,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__,
X355_Hoffmanns_Two_toed_Sloth__metabat2_high_PE.009.contigs,98.16,2.56,3689328,46,134399,58.6,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes sp001941065,96.81
X42_Goitered_Gazelle__metabat2_low_PE.007.contigs,98.8,1.92,2216827,71,43973,57.0,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__,
MHCFC02800__metabat2_high_PE.048.contigs,99.28,0.0,2391608,103,37767,59.2,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes_A,s__Alistipes_A ihumii,98.55
SAMEA3387509__metabat2_low_PE.046.contigs,55.37,0.48,1358849,485,2891,46.3,PRJEB9357,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes_A,s__,
SAMEA5043695__metabat2_low_PE.003.contigs,79.22,1.37,1518480,487,3365,40.4,PRJEB29346,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Mucinivorans,s__,
NBJMC04203__metabat2_high_PE.019.contigs,96.65,0.51,2014382,163,19535,56.0,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Rikenella,s__,
DHCMC07803__metabat2_low_PE.023.contigs,97.6,4.02,1848719,81,41513,60.3,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Tidjanibacter,s__,
DSLFR04102__maxbin2_low_prob.027.contigs,99.52,0.0,2301295,31,179570,57.4,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Tidjanibacter,s__,
LHCFC04200__maxbin2_low_prob.010.contigs,99.52,0.0,2303825,38,170494,56.6,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Tidjanibacter,s__Tidjanibacter inops,99.08
SAMEA5043696__maxbin2_high_prob.004.contigs,56.99,3.48,1448437,609,2368,39.6,PRJEB29346,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__OLMS01,s__,
DGYMR06203__metabat2_low_PE.012.contigs,95.83,0.77,3119984,123,34705,50.4,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__,
MJGMD1__metabat2_low_PE.010.contigs,98.08,2.5,5290860,154,85562,41.7,PRJNA476660,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__,
SAMEA104315437__metabat2_low_PE.048.contigs,76.19,1.15,1807543,501,3997,52.1,PRJEB22765,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__,
SAMEA3387496__metabat2_low_PE.018.contigs,97.48,0.9,3922858,228,26048,45.3,PRJEB9357,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides merdae,99.84
Susan_p2__metabat2_low_PE.031.contigs,52.62,0.19,1428928,515,2796,39.5,PRJEB20308,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__,
X396_Morelets_crocodile__metabat2_low_PE.001.contigs,93.9,3.02,3627510,406,11541,40.8,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__UBA12018,s__UBA12018 sp003447595,98.12
R17__metabat2_high_PE.026.contigs,90.4,0.94,2346831,199,18792,58.3,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA1402,g__UBA1757,s__,
R18__metabat2_low_PE.032.contigs,93.24,2.83,2034196,91,32703,57.7,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA1402,g__UBA1757,s__,
R14__metabat2_high_PE.017.contigs,94.74,1.38,3872114,278,23155,57.2,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA3663,g__UBA3663,s__,
SAMEA3663186__metabat2_high_PE.009.contigs,82.7,2.7,2086772,541,4413,48.3,PRJEB11755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA3663,g__UBA3663,s__,
SAMEA3663257__metabat2_low_PE.015.contigs,85.64,1.72,2187746,440,6764,47.4,PRJEB11755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA3663,g__UBA3663,s__,
X1_Eurasian_Beaver__metabat2_low_PE.008.contigs,77.85,3.02,2525874,513,5624,56.3,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA7332,g__UBA7332,s__,
R20__maxbin2_low_prob.019.contigs,94.03,1.76,1900405,235,11922,54.2,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__,s__,
X40_Bactrian_Camel__metabat2_high_PE.006.contigs,93.08,0.48,1655887,132,24328,38.3,multi-species,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__,s__,
R18__metabat2_high_PE.032.contigs,93.1,0.03,2023174,169,20091,53.6,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Bact-11,s__,
R20__metabat2_high_PE.056.contigs,94.29,0.0,1825539,89,32413,53.5,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Bact-11,s__,
R22__metabat2_low_PE.033.contigs,87.78,1.38,1415097,176,11219,57.6,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Bact-11,s__Bact-11 sp002309795,98.22
R27__metabat2_low_PE.022.contigs,93.57,0.48,2292904,56,104867,57.3,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Bact-11,s__,
DGYFR06201__metabat2_high_PE.051.contigs,76.78,0.71,1616516,358,5388,53.8,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__CAG-831,s__,
DHCMC07803__metabat2_high_PE.031.contigs,89.37,3.57,2125664,140,22775,56.2,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__CAG-831,s__,
DHKFR23501__metabat2_low_PE.038.contigs,91.63,2.08,2289746,163,24770,55.9,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__CAG-831,s__,
SAMEA3663283__metabat2_high_PE.009.contigs,69.35,1.44,1334215,366,4199,43.8,PRJEB11755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__CAG-831,s__,
Belle_p2__metabat2_low_PE.009.contigs,72.76,1.22,1519810,485,3327,43.5,PRJEB20308,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__RC9,s__,
DGYFJ06201__metabat2_high_PE.017.contigs,90.7,0.0,1821560,79,35813,58.1,PRJNA417359,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__RC9,s__,
R03__metabat2_high_PE.033.contigs,92.14,1.07,1724890,75,42846,57.4,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__RC9,s__,
R03__metabat2_high_PE.058.contigs,91.27,2.38,1804622,115,26956,56.6,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__RC9,s__,
R03__metabat2_low_PE.033.contigs,65.65,3.36,1497207,416,3821,55.3,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__RC9,s__,
R04__metabat2_low_PE.037.contigs,75.99,2.67,1923472,442,5457,58.2,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__RC9,s__,
R06__metabat2_low_PE.030.contigs,82.72,3.59,2267867,367,8655,48.8,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__RC9,s__,
R12__metabat2_low_PE.015.contigs,61.67,1.82,2073394,646,3541,55.9,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__RC9,s__,
R14__metabat2_high_PE.037.contigs,74.33,1.05,2183780,439,6461,51.2,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__RC9,s__,
R14__metabat2_low_PE.037.contigs,85.47,1.92,2314218,475,6411,54.5,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__RC9,s__,
R15__metabat2_high_PE.004.contigs,87.67,1.27,1989770,216,14445,60.4,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__RC9,s__,
R15__metabat2_high_PE.015.contigs,92.59,0.93,2096489,147,29025,58.0,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__RC9,s__,
R15__metabat2_low_PE.040.contigs,88.48,4.71,2126240,336,9000,58.6,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__RC9,s__,
R18__metabat2_high_PE.016.contigs,90.71,2.06,1699988,60,50430,57.8,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__RC9,s__,
